created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text,keywords_matched
2024-12-14T22:43:23.000Z,17,,,,False,[LOCATION]_ Uh some teenage escort thing me and some friends had to be removed from the library's premises in downtown [ORGANIZATION] because we were interviewing homeless people,homeless
2024-12-14T20:00:26.000Z,New York,,,,False,"[ORGANIZATION] in #[PERSON]. FAC0 is for the [ORGANIZATION] community; amenties: laundry, community room, close to transit &amp; shops. Deadline to apply is [LOCATION]. To apply, or for more #affordablehousinglotteries, visit: [URL] [URL]",
2024-12-14T17:43:24.000Z,buffalo,,,,True,"[ORGANIZATION] I went to [ORGANIZATION] to gather support for my housing plan, Acting Mayor [PERSON] voted against bringing mo…",
2024-12-14T17:05:47.000Z,,,,,True,"[ORGANIZATION] I went to [ORGANIZATION] to gather support for my housing plan, Acting Mayor [PERSON] voted against bringing mo…",
2024-12-14T17:02:21.000Z,,,,,False,[ORGANIZATION] deserves better leadership.  We still have homeless Americans living on the streets from the pandemic shutdown.  [ORGANIZATION] for Mayor of [ORGANIZATION]. We need a change from the [PERSON] administration. The city government is incompetent.  [PERSON],homeless
2024-12-14T16:32:28.000Z,,,,,True,"[ORGANIZATION] I went to [ORGANIZATION] to gather support for my housing plan, Acting Mayor [PERSON] voted against bringing mo…",
2024-12-14T16:16:10.000Z,,,,,False,"When I went to [ORGANIZATION] to gather support for my housing plan, Acting Mayor [PERSON] voted against bringing money to [ORGANIZATION] to build new housing.

Good news, I got the money anyway. I'm always focused on changing lives and bringing more affordable housing to [ORGANIZATION]. [URL] [URL]",affordable housing
2024-12-14T14:25:02.000Z,,,,,False,$500k a freebie for [ORGANIZATION]. No wonder we get affordable housing built for our own people. [PERSON] allowed halal food for [ORGANIZATION]; call to prayer. They need to integrate like the last exodus of [ORGANIZATION] Refugees [URL],affordable housing
2024-12-14T11:35:07.000Z,"Pittsburg, KS",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-14T10:13:13.000Z,,,,,False,@Charlie_Reports @MayorScanlon Was visiting [ORGANIZATION] and the amount of homeless around the market made us go elsewhere. Didn’t feel safe going into shop,homeless
