created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text
2024-12-02T03:00:04.000Z,"El Paso, Texas",,,,False,,"The burglary suspect who allegedly stabbed an [ORGANIZATION] guard in [LOCATION], says this is what he has to do to eat. [URL]"
2024-12-02T00:24:44.000Z,NEVER FORGET,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-11-30T22:00:06.000Z,"El Paso, Texas",,,,False,,"""I am willing to go to jail as long as I eat,"" the suspect told police.  [URL]"
2024-11-30T18:18:34.000Z,,,,,False,"homeless, homelessness","[USER] [USER] [USER] “I really hate seeing the [STREET] homelessness affects people in [ORGANIZATION].”

“Well, you can’t be upset about that unless you’re just as upset about homelessness in [PERSON].”

“Uhh… okay, dude.”"
2024-11-28T17:03:05.000Z,"San Antonio, TX",,,,False,,"'PERSON0 IS WORTH A MEAL' 
The burglary suspect who allegedly stabbed an [ORGANIZATION] guard in [LOCATION], says this is what he has to do to eat. [URL] [URL]"
2024-11-28T15:43:17.000Z,,,,,True,,"RT [USER]: SFC PERSON0 of [ORGANIZATION], was honored by Rep. [PERSON]amp; [ORGANIZATION] for her community impact;…"
2024-11-28T02:19:56.000Z,"El Paso, Texas",,,,False,"homeless, homelessness","ORG0 on FAC0 gave out over 100 free meals at [ORGANIZATION], a local nonprofit aiding those experiencing homelessness. [URL]"
2024-11-28T02:18:36.000Z,"El Paso, Texas",,,,False,,A church in central [ORGANIZATION] brought [ORGANIZATION] cheer to the community in need. [URL]
2024-11-27T20:01:26.000Z,4  FOR       #ibdtmric HK NH X,,,,True,,"RT [USER]: SFC PERSON0 of [ORGANIZATION], was honored by Rep. [PERSON]amp; [ORGANIZATION] for her community impact;…"
2024-11-27T16:47:07.000Z,"San Antonio, TX",,,,False,,The burglary suspect who allegedly stabbed an [ORGANIZATION] says this is what he has to do to eat. [URL] [URL]
2024-11-27T16:44:04.000Z,"Fort Bragg, N.C. 🇺🇸",,,,True,,"RT [USER]: SFC PERSON0 of [ORGANIZATION], was honored by Rep. [PERSON]amp; [ORGANIZATION] for her community impact;…"
2024-11-27T16:29:14.000Z,Heaven,,,,True,,"RT [USER]: SFC PERSON0 of [ORGANIZATION], was honored by Rep. [PERSON]amp; [ORGANIZATION] for her community impact;…"
2024-11-27T16:22:54.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-11-27T16:21:20.000Z,"Bell County, TX",,,,True,,"RT [USER]: SFC PERSON0 of [ORGANIZATION], was honored by Rep. [PERSON]amp; [ORGANIZATION] for her community impact;…"
2024-11-27T16:16:01.000Z,Texas,,,,False,homeless,"SFC PERSON0 of [ORGANIZATION], was honored by Rep. [PERSON]amp; [ORGANIZATION] for her community impact; housing 11 homeless vets, helping 9 secure jobs, &amp; supporting at-risk youth. A true example of selfless service!

[URL] [URL]"
