id,text,created_at,author_id,user_location,tweet_geo,tweet_country,place_type
1857512531389980908,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:54:33.000Z,1000675416359698432,Arranmore,,,
1857510692976279611,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:47:14.000Z,858357312,,,,
1857509168912986509,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:41:11.000Z,1504201413039169547,Ireland ,,,
1857508833955922108,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:39:51.000Z,1010651864919105537,,,,
1857507419737436585,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:34:14.000Z,568624483,"Dublin City, Ireland",,,
1857506200549572884,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:29:23.000Z,1064631499927023625,,,,
1857503900649046242,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:20:15.000Z,1649439202616934410,,,,
1857503728745505031,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:19:34.000Z,965415444470525954,Ireland,,,
1857502759186215379,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:15:43.000Z,1419660212588498951,"Dublin City, Ireland",,,
1857502716173463622,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:15:32.000Z,1651898120287002626,,,,
1857502243563729319,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:13:40.000Z,1752767424141684736,,,,
1857501934380368376,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:12:26.000Z,1411766762312511490,,,,
1857501513788055571,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:10:46.000Z,1051442771792420865,,,,
1857501263358833075,"One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many people are pointing to the housing crisis as a major issue, which the government has no desire to solve. It's time to end 100 years of Finne Fáil and Fine Gael. https://t.co/Yx4SVWSa98",2024-11-15T19:09:46.000Z,236377912,"Dublin, Ireland",,,
1857105458693017727,Rockford Rescue Mission seeks community aid ahead of National Hunger and Homelessness Awareness Week. https://t.co/NFzExtzGR1,2024-11-14T16:56:59.000Z,15357578,"Rockford, IL",,,
1854693566129340488,"@meluhkneesays They've got all that affordable housing, but the downside is it's in Rockford.",2024-11-08T01:12:59.000Z,2280750379,,,,
1851915777890226223,"Thanks to a system that can ensure homelessness is rare  and brief, Rockford, IL has a sustainable solution to the chronic  homelessness its citizens face.",2024-10-31T09:15:03.000Z,1269149246,,,,
1851915775835312371,"Rockford, IL uses real-time, by-name data to reach functional zero with homeless population

In January 2017, Rockford, IL became the  first community in the United States to end both chronic and veteran  homelessness.",2024-10-31T09:15:02.000Z,1269149246,,,,
1844902445840793660,"@MYLUNCHBREAK_ This church is in Rockford Illinois, it had been vacant for several years and it was used as a soup kitchen for several  years after that until a homeless man set it on fire. bythe time the fire department arrived, they had no other choice but to keep it from spreading.",2024-10-12T00:46:34.000Z,1572168140649373698,Any where USA,,,
1842627119383265619,"https://t.co/BKrUB8h4K2

City of Rockford Refuses to Acknowledge an Abandoned Homeless Encampment

https://t.co/BKrUB8h4K2 

#rockfordscanner #rockford #rockfordil #homeless #illinois #mayor #rs #news #cleanup #shelter #wtf #fail #corruption #politics #embarrassing",2024-10-05T18:05:14.000Z,332512936,Rockford Illinois,,,
1840436402682531854,"The Rockford Rescue Mission is the primary provider of assistance to people struggling with challenges like homelessness, poverty, abuse and addiction. https://t.co/cABpXt5D0v",2024-09-29T17:00:06.000Z,33988019,"Rockford, IL",,,
1840104218272616654,"Country music artist and Grammy nominee Steven Cade brings his Giving Guitars Tour to Rockford, donating to Carpenter’s Place and raising awareness for homelessness. https://t.co/phki3svQ0J",2024-09-28T19:00:07.000Z,33988019,"Rockford, IL",,,
